                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     57,                  0.898,                 0.5485,                0.97126,                0.85979,                0.86728,                0.93411,                0.67568,                 1.0306,                0.54638,                0.99163,             0.00056938,             0.00056938,             0.00056938
                     58,                0.91364,                0.54253,                0.98563,                0.92464,                0.82389,                0.92127,                0.61044,                  1.095,                0.60213,                 1.0099,               0.000557,               0.000557,               0.000557
                     59,                0.87482,                0.53195,                0.97197,                0.92345,                0.84851,                 0.9139,                 0.6182,                 1.0943,                0.59651,                 1.0074,             0.00054463,             0.00054463,             0.00054463
                     60,                0.90515,                 0.5306,                0.98147,                0.91103,                 0.8656,                0.93479,                0.61481,                 1.0892,                0.60016,                 1.0103,             0.00053225,             0.00053225,             0.00053225
                     61,                0.86733,                0.51805,                 0.9577,                0.92026,                0.80186,                0.93549,                0.64403,                 1.1029,                0.57759,                 1.0175,             0.00051988,             0.00051988,             0.00051988
                     62,                0.86461,                0.51383,                0.96803,                 0.8929,                0.86271,                0.92745,                0.68127,                  1.021,                0.54659,                0.99032,              0.0005075,              0.0005075,              0.0005075
                     63,                0.86113,                0.51585,                0.97177,                0.90096,                0.88258,                 0.9399,                0.66407,                 1.0177,                0.54331,                 0.9853,             0.00049513,             0.00049513,             0.00049513
                     64,                0.90165,                0.53078,                0.96983,                0.87736,                0.84907,                0.93772,                0.62725,                 1.0586,                0.64021,                0.99514,             0.00048275,             0.00048275,             0.00048275
                     65,                 0.8646,                0.50814,                0.95514,                 0.9242,                0.84026,                0.92432,                0.65815,                 1.0504,                0.57943,                0.98741,             0.00047038,             0.00047038,             0.00047038
                     66,                0.84361,                0.50355,                0.97135,                0.92864,                0.79581,                0.92526,                0.66893,                 1.0751,                0.55969,                 1.0053,               0.000458,               0.000458,               0.000458
                     67,                0.82032,                0.48839,                0.95306,                0.87929,                 0.8643,                0.94228,                0.66125,                 1.0521,                0.55029,                0.99586,             0.00044563,             0.00044563,             0.00044563
                     68,                0.85568,                0.50573,                0.94938,                0.92524,                0.86084,                0.95024,                0.66996,                 1.0377,                0.53595,                0.99572,             0.00043325,             0.00043325,             0.00043325
                     69,                0.85042,                0.50333,                0.95369,                0.91043,                0.91071,                0.95334,                0.65481,                  1.049,                0.55249,                  1.004,             0.00042087,             0.00042087,             0.00042087
                     70,                 0.8608,                0.50136,                0.95082,                0.89066,                0.89377,                0.94603,                0.61646,                 1.0957,                0.57185,                 1.0105,              0.0004085,              0.0004085,              0.0004085
                     71,                0.81406,                0.47794,                0.95852,                0.91262,                0.85352,                 0.9418,                 0.5934,                 1.0964,                0.56635,                 1.0264,             0.00039613,             0.00039613,             0.00039613
                     72,                0.80137,                0.47781,                 0.9514,                0.91732,                0.81314,                 0.9354,                 0.6051,                 1.1028,                0.56839,                 1.0242,             0.00038375,             0.00038375,             0.00038375
                     73,                0.80542,                0.47415,                0.94682,                0.84569,                0.86642,                0.91229,                0.61828,                 1.0889,                0.56376,                 1.0227,             0.00037138,             0.00037138,             0.00037138
                     74,                0.82567,                0.49145,                0.95811,                0.93018,                0.84334,                0.93534,                 0.6394,                 1.1107,                0.56295,                 1.0359,               0.000359,               0.000359,               0.000359
                     75,                0.80128,                0.48003,                0.94848,                0.93164,                0.84234,                0.92446,                0.66109,                 1.0992,                0.57659,                 1.0487,             0.00034663,             0.00034663,             0.00034663
                     76,                0.82256,                 0.4907,                0.94871,                0.91238,                0.81112,                  0.924,                0.63536,                 1.0875,                0.56815,                 1.0462,             0.00033425,             0.00033425,             0.00033425
                     77,                0.82436,                0.47724,                0.94737,                 0.9473,                0.82761,                0.92601,                0.66518,                 1.0511,                0.57679,                 1.0244,             0.00032188,             0.00032188,             0.00032188
                     78,                0.83878,                0.48412,                0.95689,                0.91461,                0.85186,                0.93825,                 0.6591,                 1.0336,                0.56842,                 1.0186,              0.0003095,              0.0003095,              0.0003095
                     79,                0.79162,                0.45845,                0.95386,                0.85166,                0.89007,                0.92689,                0.66233,                 1.0235,                0.53502,                  1.003,             0.00029713,             0.00029713,             0.00029713
                     80,                0.78741,                0.46653,                0.93036,                0.82375,                0.88445,                0.92263,                0.64456,                 1.0606,                0.54877,                 1.0107,             0.00028475,             0.00028475,             0.00028475
